method,n,k,p,mean_P_optimal,std_P_optimal,mean_P_feasible,mean_P_near_optimal_5pct,mean_normalized_gap,num_instances
QWOA weighted Johnson cost alpha=0.25,8,4,2,0.363313484045919,0.19045358565142864,1.0,0.54204165400512,0.07705491626510141,4
QWOA weighted Johnson cost alpha=1.0,8,4,2,0.3276887302480239,0.056762284983050484,1.0,0.5185736897019587,0.09275973283678443,4
QWOA weighted Johnson cost alpha=0.5,8,4,2,0.3147694049544795,0.12516374168532315,1.0,0.48568505000401857,0.0914516551500896,4
QWOA weighted Johnson cost alpha=2.0,8,4,2,0.2170205634636793,0.04786847224885569,1.0,0.37148777712393866,0.14468759272033435,4
QWOA weighted Johnson cost alpha=2.0,8,3,2,0.16884241342106132,0.09135466030123418,1.0,0.16884241342106132,0.22847317177237314,4
QWOA complete / Grover-equivalent,8,3,2,0.13188060760513792,0.01667395351798225,1.0,0.13188060760513792,0.21862053781009266,4
QWOA complete / Grover-equivalent,8,4,2,0.09657061555829208,0.01668363744136335,1.0,0.16101180906300783,0.20818348093697536,4
QWOA weighted Johnson cost alpha=0.25,8,3,3,0.5443263003591835,0.09957533422230876,1.0,0.5443263003591835,0.08338126956915133,4
QWOA weighted Johnson cost alpha=0.5,8,3,3,0.50921858148218,0.045919567037061286,1.0,0.50921858148218,0.09392474036543683,4
QWOA weighted Johnson cost alpha=1.0,8,3,3,0.5077387511175666,0.019886578387053728,1.0,0.5077387511175666,0.09742030791249043,4
QWOA Johnson,8,3,3,0.48338454216141946,0.10149280937229674,1.0,0.48338454216141946,0.09934250347296716,4
QWOA weighted Johnson cost alpha=1.0,8,4,3,0.39923481026219454,0.08060435673430799,1.0,0.6171936515457789,0.07067607173494536,4
QWOA weighted Johnson cost alpha=0.25,8,4,3,0.3927037701701571,0.14074113245012726,1.0,0.5933918480259655,0.07109686646348458,4
QWOA Johnson,8,4,3,0.3898024773951268,0.15937589075512498,1.0,0.5867086284238234,0.06718593528046533,4
QWOA weighted Johnson cost alpha=0.5,8,4,3,0.37029424406367817,0.09386708580576275,1.0,0.5660917789926787,0.07576259013878206,4
QWOA weighted Johnson cost alpha=2.0,8,3,3,0.3042999002732715,0.10827587881997897,1.0,0.3042999002732715,0.18162980016973207,4
QWOA weighted Johnson cost alpha=2.0,8,4,3,0.2926935484809645,0.08213913440423304,1.0,0.47904149866083456,0.11361099373414582,4
QWOA complete / Grover-equivalent,8,3,3,0.1609630161078513,0.03008081076931277,1.0,0.1609630161078513,0.20467395187461496,4
QWOA complete / Grover-equivalent,8,4,3,0.12977049808151184,0.017092980931592897,1.0,0.21426905406413385,0.17376325030769393,4
